gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,monthly_to_total_ratio,avg_monthly_charge,charge_consistency,high_monthly_charge,service_count,has_premium_support,has_streaming,contract_value,auto_payment,has_family,is_senior_alone
Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.2,384.25,0,0-12,1,0.2081765087605451,64.04166666666667,1.252309694209499,1,3,0,1,0,0,0,0
Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,220.95,1,0-12,1,0.391304347826087,55.2375,1.5723014256619143,1,4,0,1,0,0,0,1
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.15,216.75,1,0-12,1,0.3451205510907004,54.1875,1.3868512110726645,1,3,0,0,0,1,1,0
Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05,0,49-72,0,0.016614927651323726,79.45983606557377,1.0137196851693298,1,7,1,1,1,1,0,0
Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,1,0-12,0,0.08815009581532154,86.22692307692309,1.1469735492216424,1,6,1,1,0,1,0,0
Female,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,1319.95,0,49-72,0,0.014648548393201863,19.999242424242425,0.9675366491154969,0,1,0,0,2,1,1,0
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.0,348.8,0,13-24,0,0.05431675242995997,18.357894736842105,1.0349770642201834,0,1,0,0,0,0,0,0
Female,0,No,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,64.1,504.05,0,0-12,0,0.1269181269181269,56.00555555555556,1.1445293125681975,0,5,1,1,0,0,0,0
Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.45,638.55,0,25-48,0,0.03197560784926902,19.9546875,1.0248218620311644,0,1,0,0,2,0,0,0
Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.15,1683.6,0,49-72,0,0.014929360085480233,25.128358208955223,1.0008612497030174,0,2,0,0,2,1,0,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,0,0-12,1,0.9533799533799534,10.225,2.0,0,1,0,0,0,0,0,0
Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,422.5,0,13-24,0,0.046280991735537194,18.369565217391305,1.06698224852071,0,1,0,0,1,0,0,0
Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,0,49-72,0,0.014376884774528366,20.65072463768116,0.9927012421924345,0,1,0,0,2,1,0,0
Female,0,Yes,Yes,19,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.6,962.9,0,13-24,0,0.05145762008507107,48.144999999999996,1.030221206771212,0,3,0,0,0,1,1,0
Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,60.65,0,0-12,1,0.31873479318734793,15.1625,1.2959604286892004,0,1,0,0,0,0,1,0
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,85.25,6083.1,0,49-72,0,0.014011932742722834,83.33013698630137,1.023039239861255,1,8,1,1,2,0,1,0
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.65,54.65,0,0-12,1,0.9820305480682839,27.325,2.0,0,3,0,1,0,0,0,0
